states,year,quarter,trans_type,trans_counts,amount
arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.917463
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.6121468
arunachal-pradesh,2022,4,Financial Services,2617,3785469.399336656
arunachal-pradesh,2022,4,Others,4838,4020773.895396032
assam,2018,1,Recharge & bill payments,632092,93491181.1405638
assam,2018,1,Peer-to-peer payments,318025,993525195.9818656
assam,2018,1,Merchant payments,40482,34501622.892667554
assam,2018,1,Financial Services,18172,4936862.200688562
assam,2018,1,Others,48110,31349593.99668264
assam,2018,2,Recharge & bill payments,984160,174427478.213408
assam,2018,2,Peer-to-peer payments,530781,2064314053.1339967
assam,2018,2,Merchant payments,79307,73366344.80739225
assam,2018,2,Financial Services,22773,7051504.657611102
assam,2018,2,Others,46852,31425754.72538605
assam,2018,3,Recharge & bill payments,1275136,254569069.32411745
assam,2018,3,Peer-to-peer payments,843571,3424136709.50882
assam,2018,3,Merchant payments,159532,96783839.37466942
assam,2018,3,Financial Services,22677,4741123.821880115
assam,2018,3,Others,50935,30904247.88478589
assam,2018,4,Recharge & bill payments,1703488,317661277.3470997
assam,2018,4,Peer-to-peer payments,1279089,5284776455.070784
assam,2018,4,Merchant payments,667293,240563395.2777939
assam,2018,4,Financial Services,28035,6331912.52655252
assam,2018,4,Others,56267,38689818.79087821
assam,2019,1,Recharge & bill payments,1993220,400281677.9438284
assam,2019,1,Peer-to-peer payments,1976310,7291433300.700248
assam,2019,1,Merchant payments,494871,266644645.7492942
assam,2019,1,Financial Services,20162,4612454.1127945455
assam,2019,1,Others,48442,39127457.94468763
assam,2019,2,Recharge & bill payments,2512932,539315772.8606573
assam,2019,2,Peer-to-peer payments,2293770,10035232820.85296
assam,2019,2,Merchant payments,573646,326844709.5879724
assam,2019,2,Financial Services,13654,4037222.414240564
assam,2019,2,Others,60927,49538663.41037582
assam,2019,3,Peer-to-peer payments,2713539,11835800855.17655
assam,2019,3,Recharge & bill payments,2645302,639885372.7480905
assam,2019,3,Merchant payments,513728,421380275.4207429
assam,2019,3,Financial Services,8606,6403456.344768786
assam,2019,3,Others,61396,46973660.73634353
assam,2019,4,Peer-to-peer payments,3222143,14083346879.36185
assam,2019,4,Recharge & bill payments,2937800,704118873.9720939
assam,2019,4,Merchant payments,544053,456318130.082201
assam,2019,4,Financial Services,9621,3492255.0860687294
assam,2019,4,Others,46893,34707757.00985589
assam,2020,1,Peer-to-peer payments,4058740,18977446151.76882
assam,2020,1,Recharge & bill payments,3897975,971722606.1579468
assam,2020,1,Merchant payments,792646,675423852.9512749
assam,2020,1,Financial Services,10173,7054325.507515656
assam,2020,1,Others,49326,36781411.34368035
assam,2020,2,Recharge & bill payments,6045321,1612522828.716347
assam,2020,2,Peer-to-peer payments,3648386,17358374071.26616
assam,2020,2,Merchant payments,742400,749018053.2400584
assam,2020,2,Financial Services,19814,18130004.68767226
assam,2020,2,Others,49278,28255168.009208795
assam,2020,3,Peer-to-peer payments,5637893,26646565777.439198
assam,2020,3,Recharge & bill payments,5292154,1627282415.945187
assam,2020,3,Merchant payments,1383230,1492484153.387315
assam,2020,3,Financial Services,24954,28452966.02637225
assam,2020,3,Others,59480,36605946.74600269
assam,2020,4,Peer-to-peer payments,7538478,36013292450.81438
assam,2020,4,Recharge & bill payments,5383505,1662189124.417745
assam,2020,4,Merchant payments,2392184,2466913305.59039
assam,2020,4,Financial Services,29764,32314809.97526103
assam,2020,4,Others,79523,51901628.46643049
assam,2021,1,Peer-to-peer payments,9449096,45476079487.104645
assam,2021,1,Recharge & bill payments,6494111,2103017761.5465329
assam,2021,1,Merchant payments,3459132,3657261586.200161
assam,2021,1,Financial Services,34049,41291047.3832124
assam,2021,1,Others,75672,48814663.88782827
assam,2021,2,Peer-to-peer payments,11668399,51521387890.612526
assam,2021,2,Recharge & bill payments,9058005,2657676415.2458973
assam,2021,2,Merchant payments,4562669,4914753140.040101
assam,2021,2,Financial Services,49671,46106001.4981417
assam,2021,2,Others,94161,52549929.26715793
assam,2021,3,Peer-to-peer payments,15617592,64131823895.23546
assam,2021,3,Recharge & bill payments,10284267,3248364164.198426
assam,2021,3,Merchant payments,7431371,8208706348.034584
assam,2021,3,Financial Services,39479,43889820.49598975
assam,2021,3,Others,131732,67715045.34317216
assam,2021,4,Peer-to-peer payments,21393962,86801625126.53499
assam,2021,4,Merchant payments,12895755,13378765005.90518
assam,2021,4,Recharge & bill payments,11484376,3842004488.373319
assam,2021,4,Financial Services,60724,65456475.82619133
assam,2021,4,Others,185544,97116796.57575196
assam,2022,1,Peer-to-peer payments,27156085,108855352347.4486
assam,2022,1,Merchant payments,19011883,18833132506.02235
assam,2022,1,Recharge & bill payments,12474674,4424035840.366192
assam,2022,1,Financial Services,68432,73257991.39188361
assam,2022,1,Others,178812,94659207.47378008
assam,2022,2,Peer-to-peer payments,33879530,123829913105.3184
assam,2022,2,Merchant payments,28377534,24333260089.82686
assam,2022,2,Recharge & bill payments,13858113,4814695679.877083
assam,2022,2,Financial Services,50785,55549153.74320389
assam,2022,2,Others,168763,77624058.0178437
assam,2022,3,Peer-to-peer payments,37000266,127264703851.96632
assam,2022,3,Merchant payments,34935460,28789992307.1612
assam,2022,3,Recharge & bill payments,13974568,5295136932.037907
assam,2022,3,Financial Services,65066,62882386.459812224
assam,2022,3,Others,138451,76363577.2732331
assam,2022,4,Peer-to-peer payments,44828832,150693397669.1831
assam,2022,4,Merchant payments,43605784,36033810141.57484
assam,2022,4,Recharge & bill payments,15344794,5773980885.270762
assam,2022,4,Financial Services,74414,75960367.91633397
assam,2022,4,Others,127443,76370123.60102956
bihar,2018,1,Recharge & bill payments,3159922,375559206.7727593
bihar,2018,1,Peer-to-peer payments,2052089,5295346761.4508295
bihar,2018,1,Financial Services,194295,33999413.87739952
bihar,2018,1,Merchant payments,138885,139827755.73655012
bihar,2018,1,Others,279111,201025034.1796018
bihar,2018,2,Recharge & bill payments,4346849,700649777.0602969
bihar,2018,2,Peer-to-peer payments,3447898,12141448845.07762
bihar,2018,2,Merchant payments,311487,318571872.8216527
bihar,2018,2,Financial Services,267433,45332532.09643286
bihar,2018,2,Others,258711,300128082.61604583
bihar,2018,3,Peer-to-peer payments,8893764,18695889187.89432
bihar,2018,3,Recharge & bill payments,4401439,804061398.5166464
bihar,2018,3,Merchant payments,586862,367608510.7261781
bihar,2018,3,Financial Services,274510,33276460.45213346
bihar,2018,3,Others,211229,234968821.3120635
bihar,2018,4,Peer-to-peer payments,8094296,26224303882.80399
bihar,2018,4,Recharge & bill payments,5469096,986310785.0093702
bihar,2018,4,Merchant payments,1680664,848968693.0665623
bihar,2018,4,Financial Services,237247,36199427.51318769
bihar,2018,4,Others,251098,302214380.1845841
bihar,2019,1,Peer-to-peer payments,16807040,38824078062.32093
bihar,2019,1,Recharge & bill payments,7036367,1333688182.538674
bihar,2019,1,Merchant payments,2055267,1024996999.52793
bihar,2019,1,Financial Services,204689,28599535.73440934
bihar,2019,1,Others,252871,291464734.4043106
bihar,2019,2,Peer-to-peer payments,15837449,58381285240.80835
bihar,2019,2,Recharge & bill payments,9279442,1996804238.274975
bihar,2019,2,Merchant payments,4365465,2308145849.844257
